L T,R T,L T-1,R T-1,L T-2,R T-2,L T-3,R T-3,L T-4,R T-4,L T-5,R T-5,L T-6,R T-6,L T-7,R T-7,L T-8,R T-8,L T-9,R T-9,class
0.956996125,0.462818737,0.985471383,0.462818737,0.89690827,0.462818737,0.99107125,0.48507125,0.906764701,0.44746088,0.99107125,0.446228542,0.99107125,0.446228542,0.909872987,0.470360434,0.887953568,0.461455498,0.94751136,0.48507125,real
0.985471383,0.462818737,0.89690827,0.462818737,0.99107125,0.48507125,0.906764701,0.44746088,0.99107125,0.446228542,0.99107125,0.446228542,0.909872987,0.470360434,0.887953568,0.461455498,0.94751136,0.48507125,0.94751136,0.48507125,real
0.89690827,0.462818737,0.99107125,0.48507125,0.906764701,0.44746088,0.99107125,0.446228542,0.99107125,0.446228542,0.909872987,0.470360434,0.887953568,0.461455498,0.94751136,0.48507125,0.94751136,0.48507125,0.99107125,0.48507125,real
0.99107125,0.48507125,0.906764701,0.44746088,0.99107125,0.446228542,0.99107125,0.446228542,0.909872987,0.470360434,0.887953568,0.461455498,0.94751136,0.48507125,0.94751136,0.48507125,0.99107125,0.48507125,0.94848735,0.516115826,real
0.906764701,0.44746088,0.99107125,0.446228542,0.99107125,0.446228542,0.909872987,0.470360434,0.887953568,0.461455498,0.94751136,0.48507125,0.94751136,0.48507125,0.99107125,0.48507125,0.94848735,0.516115826,0.872965615,0.509901951,real
0.99107125,0.446228542,0.99107125,0.446228542,0.909872987,0.470360434,0.887953568,0.461455498,0.94751136,0.48507125,0.94751136,0.48507125,0.99107125,0.48507125,0.94848735,0.516115826,0.872965615,0.509901951,0.872965615,0.509901951,real
0.99107125,0.446228542,0.909872987,0.470360434,0.887953568,0.461455498,0.94751136,0.48507125,0.94751136,0.48507125,0.99107125,0.48507125,0.94848735,0.516115826,0.872965615,0.509901951,0.872965615,0.509901951,0.913500278,0.518099259,real
0.909872987,0.470360434,0.887953568,0.461455498,0.94751136,0.48507125,0.94751136,0.48507125,0.99107125,0.48507125,0.94848735,0.516115826,0.872965615,0.509901951,0.872965615,0.509901951,0.913500278,0.518099259,0.89690827,0.486504255,real
0.887953568,0.461455498,0.94751136,0.48507125,0.94751136,0.48507125,0.99107125,0.48507125,0.94848735,0.516115826,0.872965615,0.509901951,0.872965615,0.509901951,0.913500278,0.518099259,0.89690827,0.486504255,0.898888202,0.44746088,real
0.94751136,0.48507125,0.94751136,0.48507125,0.99107125,0.48507125,0.94848735,0.516115826,0.872965615,0.509901951,0.872965615,0.509901951,0.913500278,0.518099259,0.89690827,0.486504255,0.898888202,0.44746088,0.898888202,0.44746088,real
0.94751136,0.48507125,0.99107125,0.48507125,0.94848735,0.516115826,0.872965615,0.509901951,0.872965615,0.509901951,0.913500278,0.518099259,0.89690827,0.486504255,0.898888202,0.44746088,0.898888202,0.44746088,0.887953568,0.436564125,real
0.99107125,0.48507125,0.94848735,0.516115826,0.872965615,0.509901951,0.872965615,0.509901951,0.913500278,0.518099259,0.89690827,0.486504255,0.898888202,0.44746088,0.898888202,0.44746088,0.887953568,0.436564125,0.936200079,0.435670652,real
0.94848735,0.516115826,0.872965615,0.509901951,0.872965615,0.509901951,0.913500278,0.518099259,0.89690827,0.486504255,0.898888202,0.44746088,0.898888202,0.44746088,0.887953568,0.436564125,0.936200079,0.435670652,0.785135884,0.351744921,real
0.872965615,0.509901951,0.872965615,0.509901951,0.913500278,0.518099259,0.89690827,0.486504255,0.898888202,0.44746088,0.898888202,0.44746088,0.887953568,0.436564125,0.936200079,0.435670652,0.785135884,0.351744921,0.785135884,0.351744921,real
0.872965615,0.509901951,0.913500278,0.518099259,0.89690827,0.486504255,0.898888202,0.44746088,0.898888202,0.44746088,0.887953568,0.436564125,0.936200079,0.435670652,0.785135884,0.351744921,0.785135884,0.351744921,1,0.38606293,real
0.913500278,0.518099259,0.89690827,0.486504255,0.898888202,0.44746088,0.898888202,0.44746088,0.887953568,0.436564125,0.936200079,0.435670652,0.785135884,0.351744921,0.785135884,0.351744921,1,0.38606293,0.936200079,0.414243447,real
0.89690827,0.486504255,0.898888202,0.44746088,0.898888202,0.44746088,0.887953568,0.436564125,0.936200079,0.435670652,0.785135884,0.351744921,0.785135884,0.351744921,1,0.38606293,0.936200079,0.414243447,1,0.462818737,real
0.898888202,0.44746088,0.898888202,0.44746088,0.887953568,0.436564125,0.936200079,0.435670652,0.785135884,0.351744921,0.785135884,0.351744921,1,0.38606293,0.936200079,0.414243447,1,0.462818737,1,0.462818737,real
0.898888202,0.44746088,0.887953568,0.436564125,0.936200079,0.435670652,0.785135884,0.351744921,0.785135884,0.351744921,1,0.38606293,0.936200079,0.414243447,1,0.462818737,1,0.462818737,0.94751136,0.43785383,real
0.887953568,0.436564125,0.936200079,0.435670652,0.785135884,0.351744921,0.785135884,0.351744921,1,0.38606293,0.936200079,0.414243447,1,0.462818737,1,0.462818737,0.94751136,0.43785383,0.936200079,0.414243447,real
0.936200079,0.435670652,0.785135884,0.351744921,0.785135884,0.351744921,1,0.38606293,0.936200079,0.414243447,1,0.462818737,1,0.462818737,0.94751136,0.43785383,0.936200079,0.414243447,0.815097271,0.413802944,real
0.785135884,0.351744921,0.785135884,0.351744921,1,0.38606293,0.936200079,0.414243447,1,0.462818737,1,0.462818737,0.94751136,0.43785383,0.936200079,0.414243447,0.815097271,0.413802944,0.815097271,0.413802944,real
0.785135884,0.351744921,1,0.38606293,0.936200079,0.414243447,1,0.462818737,1,0.462818737,0.94751136,0.43785383,0.936200079,0.414243447,0.815097271,0.413802944,0.815097271,0.413802944,1,0.415438121,real
1,0.38606293,0.936200079,0.414243447,1,0.462818737,1,0.462818737,0.94751136,0.43785383,0.936200079,0.414243447,0.815097271,0.413802944,0.815097271,0.413802944,1,0.415438121,0.846372349,0.414243447,real
0.936200079,0.414243447,1,0.462818737,1,0.462818737,0.94751136,0.43785383,0.936200079,0.414243447,0.815097271,0.413802944,0.815097271,0.413802944,1,0.415438121,0.846372349,0.414243447,1,0.43785383,real
1,0.462818737,1,0.462818737,0.94751136,0.43785383,0.936200079,0.414243447,0.815097271,0.413802944,0.815097271,0.413802944,1,0.415438121,0.846372349,0.414243447,1,0.43785383,1,0.43785383,real
1,0.462818737,0.94751136,0.43785383,0.936200079,0.414243447,0.815097271,0.413802944,0.815097271,0.413802944,1,0.415438121,0.846372349,0.414243447,1,0.43785383,1,0.43785383,0.989130112,0.436564125,real
0.94751136,0.43785383,0.936200079,0.414243447,0.815097271,0.413802944,0.815097271,0.413802944,1,0.415438121,0.846372349,0.414243447,1,0.43785383,1,0.43785383,0.989130112,0.436564125,0.94751136,0.436564125,real
